1	2	20180131	9063	1	0155631027	20160101	20160101	1	 
2	2	20180129	9063	10	0085644629	20150113	20150302	1	 
3	2	20180129	9063	9	0800170411	20150113	20150302	1	 
4	2	20180129	9063	8	0088023216	20150113	20150302	1	 
5	2	20180129	9063	7	01555767351234567890	20160113	20160302	5	 
6	2	20180129	9063	6	01555767351234567890	20150113	20150302	1	 
7	2	20180129	9063	5	0104196292	20150113	20150302	1	 
8	2	20180129	9063	4	0110446386	20150113	20150302	1	 
9	2	20180129	9063	3	0105510698	20150113	20150302	1	 
10	2	20180129	9063	2	0156315141	20150113	20150302	1	 
11	2	20180129	9063	1	0104236075	20150113	20150302	1	 
12	2	20171128	9063	10	0085644629	20150113	20150302	1	 
13	2	20171128	9063	9	0800170411	20150113	20150302	1	 
14	2	20171128	9063	8	0088023216	20150113	20150302	1	 
15	2	20171128	9063	7	01555767351234567890	20160113	20160302	5	 
16	2	20171128	9063	6	01555767351234567890	20150113	20150302	1	 
17	2	20171128	9063	5	0104196292	20150113	20150302	1	 
18	2	20171128	9063	4	0110446386	20150113	20150302	1	 
19	2	20171128	9063	3	0105510698	20150113	20150302	1	 
20	2	20171128	9063	2	0156315141	20150113	20150302	1	 
21	2	20171128	9063	1	0104236075	20150113	20150302	1	 
22	2	20170623	9063	10	0085644629	20150113	20150302	1	 
23	2	20170623	9063	9	0800170411	20150113	20150302	1	 
24	2	20170623	9063	8	0088023216	20150113	20150302	1	 
25	2	20170623	9063	7	01555767351234567890	20160113	20160302	5	 
26	2	20170623	9063	6	01555767351234567890	20150113	20150302	1	 
27	2	20170623	9063	5	0104196292	20150113	20150302	1	 
28	2	20170623	9063	4	0110446386	20150113	20150302	1	 
29	2	20170623	9063	3	0105510698	20150113	20150302	1	 
30	2	20170623	9063	2	0156315141	20150113	20150302	1	 
31	2	20170623	9063	1	0104236075	20150113	20150302	1	 
32	2	20170617	9063	10	0085644629	20150113	20150302	1	 
33	2	20170617	9063	9	0800170411	20150113	20150302	1	 
34	2	20170617	9063	8	0088023216	20150113	20150302	1	 
35	2	20170617	9063	7	01555767351234567890	20160113	20160302	5	 
36	2	20170617	9063	6	01555767351234567890	20150113	20150302	1	 
37	2	20170617	9063	5	0104196292	20150113	20150302	1	 
38	2	20170617	9063	4	0110446386	20150113	20150302	1	 
39	2	20170617	9063	3	0105510698	20150113	20150302	1	 
40	2	20170617	9063	2	0156315141	20150113	20150302	1	 
41	2	20170617	9063	1	0104236075	20150113	20150302	1	 
42	2	20170605	9063	10	0085644629	20150113	20150302	1	 
43	2	20170605	9063	9	0800170411	20150113	20150302	1	 
44	2	20170605	9063	8	0088023216	20150113	20150302	1	 
45	2	20170605	9063	7	01555767351234567890	20160113	20160302	5	 
46	2	20170605	9063	6	01555767351234567890	20150113	20150302	1	 
47	2	20170605	9063	5	0104196292	20150113	20150302	1	 
48	2	20170605	9063	4	0110446386	20150113	20150302	1	 
49	2	20170605	9063	3	0105510698	20150113	20150302	1	 
50	2	20170605	9063	2	0156315141	20150113	20150302	1	 
1	0	20170605	9063	1	0104236075	20150113	20150302	1	 
2	0	20170604	9063	10	0085644629	20150113	20150302	1	 
3	0	20170604	9063	9	0800170411	20150113	20150302	1	 
4	0	20170604	9063	8	0088023216	20150113	20150302	1	 
5	0	20170604	9063	7	01555767351234567890	20160113	20160302	5	 
6	0	20170604	9063	6	01555767351234567890	20150113	20150302	1	 
7	0	20170604	9063	5	0104196292	20150113	20150302	1	 
8	0	20170604	9063	4	0110446386	20150113	20150302	1	 
9	0	20170604	9063	3	0105510698	20150113	20150302	1	 
10	0	20170604	9063	2	0156315141	20150113	20150302	1	 
11	0	20170604	9063	1	0104236075	20150113	20150302	1	 
12	0	20170602	9063	10	0085644629	20150113	20150302	1	 
13	0	20170602	9063	9	0800170411	20150113	20150302	1	 
14	0	20170602	9063	8	0088023216	20150113	20150302	1	 
15	0	20170602	9063	7	01555767351234567890	20160113	20160302	5	 
16	0	20170602	9063	6	01555767351234567890	20150113	20150302	1	 
17	0	20170602	9063	5	0104196292	20150113	20150302	1	 
18	0	20170602	9063	4	0110446386	20150113	20150302	1	 
19	0	20170602	9063	3	0105510698	20150113	20150302	1	 
20	0	20170602	9063	2	0156315141	20150113	20150302	1	 
21	0	20170602	9063	1	0104236075	20150113	20150302	1	 
