10100371959|101|J|1|000022|||300|1|2017042800000072|20991231|20170428|3|10100371959|
10100371963|101||0|100001|ZXLC100001|0G02T000|200|3|2017042800000123|20991231|20170428|13|AAAA|
10100371963|101||0|100003|ZXLC100003|0G02T000|103|3|2017042800000164|20991231|20170428|13|AAAA|
10100371305|101|J|3|000001|||105|3|2017042800000171|20991231|20170428|3|田如兄|
10100371963|101||0|100004|ZXLC100004|0G02T000|003|3|2017042800000173|20991231|20170428|13|AAAA|
10100371305|101|J|1|000022|||100|3|2017042800000174|20991231|20170428|3|田如兄|
10100371962|101|J|1|202001|||000|1|2017042800000188|20991231|20170428|3|黄河|
10100371962|101|J|1|000022|||000|3|2017042800000193|20991231|20170428|3|黄河|
10100371962|101|J|5|050004|||000|3|2017042800000200|20991231|20170428|3|黄河|
10100472013|101|J|1|000022|||001|0|2017051600000035|20991231|20170516|3|预约1|
10100472015|101|J|1|000022|||300|0|2017051600000042|20991231|20170516|3|预约2|
10100472003|101|J|3|000001|||300|0|2017051600000044|20991231|20170516|3|机构名字要长常常|
10100472011|101|J|1|202001|||300|0|2017051600000047|20991231|20170516|3|山海|
10100472212|101|J|5|050004|||300|1|2017061700000002|20991231|20170617|3|AAAA|
10100472231|101||0|smsd-tes|18704|99|200|1|2017061700000006|20991231|20170617|13|QQQQQQ2|
10100472370|101|J|3|000001|||300|1|2017061700000012|20991231|20170617|3|Test-GR|
10100472380|101||0|159001|159001|99|300|0|2017061700000014|20991231|20170617|13|111111111|
10100472920|101|J|3|000001|||300|0|2017062300000058|20991231|20170623|3|年长者|
10100472918|101||0||ZZ12111111||200|3|2017062300000059|20991231|20170623|13|AAAA|
10100472919|101||0|TTTT3333|||200|3|2017062300000060|20991231|20170623|13|BBBB|
10100472918|101||0|159001|159001|99|200|0|2017062300000061|20991231|20170623|13|AAAA|
10100472912|101||0|159001|159001|99|200|1|2017062300000086|20991231|20170623|13|姜机构0623|
10100472912|101||0|24001|24001|99|000|3|2017062300000090|20991231|20170623|13|姜机构0623|
10100472912|101|J|5|050004|||300|0|2017062300000091|20991231|20170623|3|姜机构0623|
10100472892|101|J|1|202001|||000|1|2017062600000120|20991231|20170626|3|热气球|
10100472909|101|J|1|000022|||000|2|2017062600000134|20991231|20170626|3|LALALA|
10100472909|101|J|3|000001|||000|1|2017062600000135|20991231|20170626|3|LALALA|
10100472910|101|J|1|202001|||000|2|2017062600000136|20991231|20170626|3|AAAA|
10100472895|101|J|1|000022|||003|0|2017062600000151|20991231|20170626|3|个人|
10100472398|101||0||123123||006|1|2017062700000026|20991231|20170627|13|机构1111|
10100472398|101||0|123123|||004|1|2017062700000029|20991231|20170627|13|机构1111|
10100472398|101||0|123123|||006|1|2017062700000036|20991231|20170627|13|机构1111|
10100472398|101||0|111111|||200|1|2017062700000040|20991231|20170627|13|机构1111|
10100472398|101||0||123456||107|2|2017062700000041|20991231|20170627|13|机构1111|
10100472398|101||0|123456|||005|1|2017062700000042|20991231|20170627|13|机构1111|
10100472182|101||0||789987||003|1|2017062700000043|20991231|20170627|13|姜个人06511|
10100473040|101|J|1|000022|||003|3|2017062700000055|20991231|20170627|3|AAAA|
10100473012|101||0|100001|ZXLC100001|0G02T000|004|3|2017062700000080|20991231|20170627|13|壁虎|
10100472893|101|J|1|000022|||004|1|2017062700000124|20991231|20170627|3|安徽|
10100472895|101||0|100001|ZXLC100001|0G02T000|002|0|2017062700000125|20991231|20170627|13|个人|
10100472899|101|J|1|202001|||004|1|2017062700000131|20991231|20170627|3|姜个人0623|
10100472900|101||0|100001|ZXLC100001|0G02T000|002|0|2017062700000132|20991231|20170627|13|姜个人0623|
10100472900|101|J|3|000001|||004|1|2017062700000133|20991231|20170627|3|姜个人0623|
10100472890|101|J|1|000022|||003|0|2017062700000134|20991231|20170627|3|姜个人0623|
10100472890|101||0||1231231||002|1|2017062700000135|20991231|20170627|13|姜个人0623|
10100472903|101||0|1231234|||006|1|2017062700000136|20991231|20170627|13|tatata|
10100472903|101||0||12312||107|1|2017062700000139|20991231|20170627|13|tatata|
10100472386|101|J|3|000001|||005|0|2017062700000144|20991231|20170627|3|玻璃|
10100472562|101||0|100001|ZXLC100001|0G02T000|004|0|2017062700000145|20991231|20170627|13|AAAA|
10100473126|101||0||Z123321||004|1|2017063000000002|20991231|20170630|13|AAAA|
10100473068|101|J|3|000001|||002|0|2017063000000072|20991231|20170630|3|姜产品111|
10100473033|101||0|100002|ZXLC100002|0G02T000|002|1|2017063000000073|20991231|20170630|13|姜个人0627|
10100473091|101||0|100003|ZXLC100003|0G02T000|002|1|2017063000000075|20991231|20170630|13|斑马|
10100473061|101||0||123321||002|1|2017063000000081|20991231|20170630|13|最低类别客户江米|
10100473091|101||0|100002|ZXLC100002|0G02T000|000|1|2017070200000024|20991231|20170702|13|斑马|
10100473096|101|J|1|000022|||000|1|2017070200000025|20991231|20170702|3|杏仁|
